name,FramePerSec,Frameid,timestamp,hands,fingers,ID,length,width,ArmDirX,ArmDirY,ArmDirZ,WX,WY,WZ,ElbPosX,ElbPosY,ElbPosZ,Metacarpal_BBX,Metacarpal_BBY,Metacarpal_BBZ,Metacarpal_BHX,Metacarpal_BHY,Metacarpal_BHZ,Metacarpal_BDirX,Metacarpal_BDirY,Metacarpal_BDirZ,Proximal_BBX,Proximal_BBY,Proximal_BBZ,Proximal_BHX,Proximal_BHY,Proximal_BHZ,Proximal_BDirX,Proximal_BDirY,Proximal_BDirZ,Intermediate_BBX,Intermediate_BBY,Intermediate_BBZ,Intermediate_BHX,Intermediate_BHY,Intermediate_BHZ,Intermediate_BDirX,Intermediate_BDirY,Intermediate_BDirZ,Distal_BBX,Distal_BBY,Distal_BBZ,Distal_BHX,Distal_BHY,Distal_BHZ,Distal_BDirX,Distal_BDirY,Distal_BDirZ
Thumb,108,25953975,337861572755,1,5,11300,51.740665,20.104019,-0.421929,0.178442,-0.888895,16.04,180.956,87.7049,129.139,133.123,325.976,-13.2385,172.858,89.8816,-13.2385,172.858,89.8816,0,0,0,-13.2385,172.858,89.8816,-44.7393,174.344,51.6525,0.635638,-0.0299962,0.771404,-44.7393,174.344,51.6525,-62.6391,173.024,22.953,0.5288,0.0390131,0.847849,-62.6391,173.024,22.953,-78.9627,174.842,6.51845,0.702547,-0.0782448,0.707323
Thumb,109,25953976,337861581794,1,5,11300,51.764793,20.113394,-0.422017,0.176074,-0.889325,15.8727,180.727,87.6843,129.049,133.508,326.182,-13.4285,172.651,89.8346,-13.4285,172.651,89.8346,0,0,0,-13.4285,172.651,89.8346,-44.9694,174.179,51.6102,0.636149,-0.030815,0.77095,-44.9694,174.179,51.6102,-62.8081,172.828,22.8555,0.52675,0.0398853,0.849084,-62.8081,172.828,22.8555,-79.1639,174.678,6.44123,0.703607,-0.0795789,0.706119
Thumb,109,25953977,337861590825,1,5,11300,51.764793,20.113394,-0.42237,0.174255,-0.889516,15.7451,180.555,87.6477,129.016,133.824,326.197,-13.5633,172.5,89.7773,-13.5633,172.5,89.7773,0,0,0,-13.5633,172.5,89.7773,-45.1334,174.037,51.5775,0.636741,-0.0310147,0.770454,-45.1334,174.037,51.5775,-62.8875,172.626,22.7733,0.52425,0.0416826,0.850543,-62.8875,172.626,22.7733,-79.2814,174.501,6.39997,0.705243,-0.0806699,0.704361
Thumb,109,25953978,337861599889,1,5,11300,51.788921,20.122768,-0.42372,0.172061,-0.889301,15.656,180.363,87.6447,129.341,134.198,326.247,-13.6737,172.326,89.7543,-13.6737,172.326,89.7543,0,0,0,-13.6737,172.326,89.7543,-45.2796,173.894,51.5554,0.637165,-0.0316182,0.770079,-45.2796,173.894,51.5554,-62.9781,172.451,22.7001,0.522368,0.042595,0.851655,-62.9781,172.451,22.7001,-79.4011,174.352,6.3435,0.706166,-0.0817411,0.703312
Thumb,109,25953979,337861608902,1,5,11300,51.788921,20.122768,-0.424702,0.17079,-0.889078,15.5686,180.198,87.6236,129.518,134.374,326.166,-13.7675,172.179,89.7131,-13.7675,172.179,89.7131,0,0,0,-13.7675,172.179,89.7131,-45.3807,173.766,51.521,0.637312,-0.0320003,0.769941,-45.3807,173.766,51.521,-63.0234,172.296,22.6329,0.520721,0.0433818,0.852624,-63.0234,172.296,22.6329,-79.4581,174.214,6.29002,0.706671,-0.082453,0.702722
Thumb,109,25953980,337861617957,1,5,11300,51.813049,20.132143,-0.425418,0.169963,-0.888894,15.4885,180.052,87.6324,129.683,134.43,326.237,-13.8668,172.045,89.7041,-13.8668,172.045,89.7041,0,0,0,-13.8668,172.045,89.7041,-45.5011,173.652,51.5003,0.637441,-0.0323703,0.769819,-45.5011,173.652,51.5003,-63.105,172.16,22.5711,0.519333,0.0440039,0.853438,-63.105,172.16,22.5711,-79.5563,174.093,6.23129,0.707054,-0.0830684,0.702264
Thumb,109,25953981,337861627015,1,5,11300,51.813049,20.132143,-0.425977,0.169331,-0.888747,15.418,179.93,87.6191,129.762,134.477,326.184,-13.9421,171.936,89.6744,-13.9421,171.936,89.6744,0,0,0,-13.9421,171.936,89.6744,-45.5887,173.552,51.4811,0.637688,-0.0325447,0.769607,-45.5887,173.552,51.4811,-63.1463,172.03,22.5254,0.517968,0.0448799,0.854222,-63.1463,172.03,22.5254,-79.6038,173.969,6.19249,0.707321,-0.083313,0.701966
Thumb,109,25953982,337861636022,1,5,11300,51.837177,20.141518,-0.426429,0.168707,-0.888649,15.3662,179.821,87.6327,129.885,134.514,326.283,-14.012,171.836,89.6749,-14.012,171.836,89.6749,0,0,0,-14.012,171.836,89.6749,-45.6812,173.438,51.4698,0.637848,-0.0322772,0.769486,-45.6812,173.438,51.4698,-63.1963,171.871,22.4723,0.516471,0.0462075,0.855057,-63.1963,171.871,22.4723,-79.6699,173.809,6.1401,0.707683,-0.0832474,0.701608
Thumb,109,25953983,337861645081,1,5,11300,51.837177,20.141518,-0.426842,0.168076,-0.88857,15.3206,179.729,87.6234,129.951,134.591,326.252,-14.0618,171.756,89.6523,-14.0618,171.756,89.6523,0,0,0,-14.0618,171.756,89.6523,-45.7369,173.356,51.4519,0.637965,-0.032224,0.769391,-45.7369,173.356,51.4519,-63.2158,171.761,22.4341,0.515405,0.0470403,0.855654,-63.2158,171.761,22.4341,-79.7091,173.712,6.12329,0.708528,-0.0838032,0.700689
Thumb,109,25953984,337861654114,1,5,11300,51.861305,20.150894,-0.427219,0.167431,-0.88851,15.2798,179.644,87.6386,130.064,134.659,326.362,-14.1201,171.678,89.6553,-14.1201,171.678,89.6553,0,0,0,-14.1201,171.678,89.6553,-45.8118,173.27,51.4384,0.638004,-0.0320423,0.769366,-45.8118,173.27,51.4384,-63.2592,171.641,22.3851,0.514235,0.0480038,0.856305,-63.2592,171.641,22.3851,-79.776,173.601,6.08372,0.70921,-0.0841547,0.699957
