Frame	Time	FT1X	FT1Y	FT1Z	FT2X	FT2Y	FT2Z	FT3X	FT3Y	FT3Z	FT4X	FT4Y	FT4Z	FT5X	FT5Y	FT5Z	DP2X	DP2Y	DP2Z	DP3X	DP3Y	DP3Z	DP4X	DP4Y	DP4Z	DP5X	DP5Y	DP5Z	PP2X	PP2Y	PP2Z	PP3X	PP3Y	PP3Z	PP4X	PP4Y	PP4Z	PP5X	PP5Y	PP5Z	IPX	IPY	IPZ	MP1X	MP1Y	MP1Z	MP2X	MP2Y	MP2Z	MP3X	MP3Y	MP3Z	MP4X	MP4Y	MP4Z	MP5X	MP5Y	MP5Z	CMC1X	CMC1Y	CMC1Z	CMC2X	CMC2Y	CMC2Z	CMC5X	CMC5Y	CMC5Z	RSX	RSY	RSZ	USX	USY	USZ	EMX	EMY	EMZ	ELX	ELY	ELZ
1	0	407.693	127.179	-167.059	467.668	145.907	-255.748	494.152	147.027	-266.254	522.736	144.752	-252.691	549.861	142.378	-226.351	467.84	147.706	-239.053	495.773	148.73	-246.016	521.438	146.579	-234.433	547.715	139.977	-208.451	471.636	150.247	-209.085	496.72	150.462	-213.566	522.389	146.76	-202.564	548.551	137.361	-186.284	419.264	130.172	-148.734	436.141	130.257	-118.255	479.586	151.17	-163.98	504.274	151.554	-162.469	522.352	143.352	-156.518	540.532	135.231	-149.298	468.029	133.661	-86.431	492.539	154.306	-127.049	529.826	143.814	-129.185	504.201	156.697	-68.695	540.171	149.909	-81.83	630.644	56.282	155.392	672.266	105.856	127.847
2	0.00667	407.764	127.222	-167.08	467.738	145.963	-255.752	494.178	147.047	-266.253	522.78	144.804	-252.686	549.93	142.436	-226.323	467.904	147.748	-239.05	495.798	148.747	-246.015	521.489	146.637	-234.426	547.777	140.017	-208.442	471.693	150.282	-209.087	496.768	150.479	-213.571	522.445	146.805	-202.556	548.614	137.398	-186.272	419.35	130.202	-148.751	436.217	130.278	-118.269	479.631	151.151	-163.948	504.523	151.465	-162.77	522.622	143.662	-156.841	540.595	135.249	-149.299	468.096	133.672	-86.439	492.607	154.325	-127.041	529.89	143.838	-129.194	504.276	156.706	-68.695	540.229	149.913	-81.819	630.688	56.283	155.412	672.294	105.86	127.88
3	0.01333	407.84	127.267	-167.098	467.802	146.005	-255.754	494.199	147.058	-266.254	522.831	144.844	-252.684	549.996	142.493	-226.3	467.968	147.79	-239.06	495.833	148.753	-246.019	521.55	146.672	-234.422	547.839	140.06	-208.43	471.746	150.307	-209.086	496.805	150.495	-213.568	522.503	146.855	-202.561	548.668	137.424	-186.259	419.417	130.236	-148.774	436.28	130.303	-118.293	479.714	151.214	-163.976	504.588	151.481	-162.786	522.584	143.303	-156.585	540.644	135.255	-149.298	468.166	133.696	-86.447	492.665	154.344	-127.043	529.939	143.874	-129.225	504.329	156.729	-68.692	540.285	149.924	-81.814	630.704	56.292	155.428	672.317	105.863	127.901
4	0.02	407.909	127.29	-167.127	467.863	146.024	-255.759	494.231	147.045	-266.261	522.889	144.874	-252.677	550.028	142.658	-226.06	468.027	147.808	-239.062	495.818	148.614	-245.948	521.646	146.431	-234.554	547.895	140.098	-208.414	471.815	150.364	-209.097	496.758	150.472	-213.592	522.683	146.83	-202.733	548.724	137.446	-186.248	419.482	130.258	-148.802	436.335	130.318	-118.315	479.771	151.231	-163.982	504.555	151.588	-162.402	522.719	143.527	-156.652	540.688	135.262	-149.292	468.21	133.71	-86.459	492.834	154.442	-126.982	529.678	144.268	-128.839	504.534	156.745	-68.802	540.338	149.932	-81.802	629.879	56.305	156.091	672.347	105.869	127.913
5	0.02667	408.01	127.232	-167.114	467.948	145.969	-255.709	494.278	146.957	-266.218	522.972	144.843	-252.605	550.126	142.693	-226.019	468.097	147.748	-239.002	495.872	148.554	-245.88	521.741	146.472	-234.52	547.982	140.133	-208.372	471.897	150.369	-209.081	496.836	150.465	-213.569	522.754	146.805	-202.696	548.758	137.461	-186.277	419.591	130.18	-148.788	436.433	130.254	-118.277	479.843	151.227	-163.953	504.511	151.441	-162.406	522.747	143.529	-156.706	540.715	135.267	-149.334	468.309	133.634	-86.402	492.861	154.461	-127.035	529.657	144.137	-128.749	504.553	156.664	-68.741	540.389	149.899	-81.758	629.85	56.283	156.366	672.201	105.852	128.142
6	0.03333	408.099	127.294	-167.14	468.018	145.999	-255.736	494.33	146.98	-266.24	523.065	144.933	-252.654	550.179	142.722	-226.006	468.162	147.784	-239.022	495.93	148.567	-245.93	521.8	146.493	-234.518	548.03	140.138	-208.346	471.947	150.362	-209.09	496.871	150.445	-213.577	522.834	146.874	-202.708	548.804	137.473	-186.271	419.679	130.263	-148.825	436.496	130.33	-118.332	479.898	151.226	-163.961	504.6	151.629	-162.497	522.792	143.533	-156.721	540.753	135.269	-149.335	468.367	133.726	-86.454	492.905	154.467	-127.049	529.696	144.124	-128.734	504.657	156.786	-68.79	540.424	149.931	-81.76	629.974	56.103	156.193	672.196	105.849	128.179
7	0.04	408.148	127.278	-167.16	468.069	145.98	-255.741	494.361	146.949	-266.255	523.112	144.941	-252.671	550.24	142.76	-225.997	468.206	147.771	-239.03	495.963	148.543	-245.948	521.846	146.497	-234.525	548.083	140.165	-208.341	471.997	150.356	-209.102	496.919	150.426	-213.587	522.879	146.879	-202.715	548.85	137.483	-186.27	419.744	130.249	-148.848	436.545	130.33	-118.346	479.94	151.217	-163.968	504.636	151.633	-162.517	522.832	143.541	-156.733	540.79	135.264	-149.343	468.411	133.732	-86.463	492.943	154.472	-127.069	529.729	144.121	-128.739	504.69	156.811	-68.801	540.469	149.943	-81.767	630.018	56.076	156.177	672.216	105.845	128.193
8	0.04667	408.196	127.271	-167.176	468.108	145.971	-255.766	494.377	146.916	-266.261	523.138	144.932	-252.677	550.296	142.795	-225.989	468.24	147.759	-239.043	495.987	148.519	-245.963	521.878	146.483	-234.544	548.121	140.18	-208.326	472.021	150.336	-209.109	496.937	150.403	-213.605	522.903	146.869	-202.725	548.89	137.5	-186.265	419.784	130.246	-148.865	436.579	130.327	-118.366	479.972	151.216	-163.989	504.673	151.633	-162.532	522.873	143.551	-156.756	540.818	135.26	-149.353	468.443	133.744	-86.477	492.973	154.477	-127.095	529.758	144.129	-128.749	504.728	156.824	-68.812	540.509	149.947	-81.775	630.031	56.05	156.153	672.224	105.849	128.201
9	0.05333	408.232	127.272	-167.197	468.132	145.967	-255.771	494.39	146.898	-266.274	523.161	144.919	-252.695	550.332	142.829	-225.989	468.262	147.755	-239.052	496.002	148.501	-245.969	521.892	146.474	-234.556	548.15	140.21	-208.322	472.045	150.33	-209.126	496.956	150.391	-213.616	522.924	146.864	-202.745	548.917	137.507	-186.262	419.82	130.243	-148.888	436.61	130.329	-118.383	479.996	151.216	-164.006	504.686	151.636	-162.55	522.89	143.549	-156.77	540.837	135.246	-149.368	468.474	133.755	-86.505	493.005	154.485	-127.112	529.782	144.124	-128.762	504.759	156.828	-68.83	540.534	149.958	-81.783	630.057	56.042	156.147	672.224	105.846	128.208
10	0.06	408.259	127.272	-167.212	468.148	145.971	-255.781	494.399	146.893	-266.287	523.162	144.921	-252.706	550.346	142.859	-225.99	468.278	147.756	-239.069	496.009	148.506	-245.989	521.904	146.476	-234.573	548.162	140.227	-208.322	472.063	150.327	-209.137	496.971	150.395	-213.631	522.934	146.864	-202.76	548.929	137.519	-186.269	419.857	130.25	-148.919	436.63	130.34	-118.406	480.013	151.22	-164.021	504.71	151.634	-162.571	522.913	143.55	-156.802	540.853	135.241	-149.386	468.5	133.759	-86.516	493.026	154.49	-127.131	529.798	144.118	-128.777	504.775	156.842	-68.846	540.564	149.95	-81.797	630.053	56.025	156.129	672.228	105.838	128.212
11	0.06667	408.275	127.282	-167.225	468.148	145.978	-255.793	494.392	146.901	-266.303	523.164	144.948	-252.724	550.353	142.895	-225.996	468.282	147.76	-239.076	496.005	148.51	-246.003	521.901	146.488	-234.59	548.158	140.249	-208.327	472.069	150.337	-209.156	496.974	150.397	-213.653	522.936	146.871	-202.773	548.93	137.532	-186.284	419.874	130.258	-148.941	436.651	130.346	-118.425	480.02	151.226	-164.033	504.714	151.643	-162.591	522.918	143.547	-156.825	540.86	135.223	-149.404	468.511	133.77	-86.534	493.044	154.499	-127.152	529.815	144.112	-128.805	504.797	156.845	-68.865	540.582	149.953	-81.818	630.068	56.028	156.113	672.223	105.839	128.2
12	0.07333	408.287	127.305	-167.246	468.15	146.001	-255.816	494.38	146.924	-266.327	523.156	144.983	-252.743	550.347	142.954	-226.002	468.28	147.774	-239.096	495.995	148.528	-246.02	521.888	146.514	-234.596	548.143	140.282	-208.331	472.068	150.351	-209.168	496.963	150.418	-213.672	522.933	146.889	-202.787	548.931	137.574	-186.305	419.888	130.275	-148.955	436.655	130.368	-118.442	480.031	151.241	-164.057	504.719	151.648	-162.611	522.925	143.553	-156.839	540.853	135.215	-149.42	468.525	133.776	-86.551	493.054	154.514	-127.168	529.814	144.113	-128.826	504.805	156.861	-68.883	540.585	149.962	-81.836	630.051	56.018	156.11	672.206	105.826	128.196
13	0.08	408.298	127.337	-167.262	468.141	146.027	-255.829	494.361	146.945	-266.336	523.119	145.051	-252.748	550.335	143.014	-226.017	468.272	147.799	-239.11	495.983	148.553	-246.038	521.873	146.558	-234.603	548.128	140.325	-208.329	472.063	150.366	-209.185	496.951	150.436	-213.694	522.917	146.92	-202.802	548.929	137.601	-186.316	419.902	130.302	-148.974	436.665	130.396	-118.471	480.028	151.262	-164.07	504.728	151.708	-162.643	522.924	143.563	-156.86	540.847	135.231	-149.439	468.541	133.788	-86.57	493.058	154.529	-127.183	529.82	144.121	-128.843	504.806	156.867	-68.9	540.596	149.964	-81.853	630.048	55.997	156.095	672.195	105.814	128.189
14	0.08667	408.294	127.387	-167.295	468.139	146.064	-255.839	494.343	146.976	-266.357	523.09	145.113	-252.759	550.32	143.074	-226.021	468.275	147.832	-239.13	495.972	148.569	-246.054	521.835	146.618	-234.621	548.121	140.383	-208.343	472.058	150.398	-209.198	496.94	150.463	-213.71	522.903	146.961	-202.813	548.914	137.63	-186.33	419.903	130.33	-149.002	436.67	130.431	-118.497	480.033	151.284	-164.09	504.728	151.726	-162.672	522.921	143.579	-156.882	540.836	135.247	-149.462	468.539	133.795	-86.591	493.061	154.547	-127.201	529.819	144.129	-128.862	504.816	156.872	-68.919	540.601	149.967	-81.865	630.005	55.983	156.078	672.176	105.79	128.189
15	0.09333	408.298	127.433	-167.317	468.129	146.111	-255.855	494.327	147.016	-266.373	523.057	145.206	-252.778	550.305	143.15	-226.038	468.269	147.877	-239.142	495.949	148.616	-246.07	521.807	146.681	-234.626	548.107	140.435	-208.357	472.056	150.43	-209.216	496.921	150.488	-213.735	522.886	147.001	-202.829	548.894	137.673	-186.348	419.911	130.375	-149.03	436.669	130.449	-118.519	480.013	151.325	-164.11	504.722	151.746	-162.692	522.924	143.595	-156.903	540.829	135.265	-149.475	468.543	133.813	-86.611	493.061	154.567	-127.219	529.811	144.145	-128.876	504.809	156.874	-68.939	540.591	149.972	-81.884	629.954	55.998	156.075	672.153	105.772	128.172
