Frame	Time	FT1X	FT1Y	FT1Z	FT2X	FT2Y	FT2Z	FT3X	FT3Y	FT3Z	FT4X	FT4Y	FT4Z	FT5X	FT5Y	FT5Z	DP2X	DP2Y	DP2Z	DP3X	DP3Y	DP3Z	DP4X	DP4Y	DP4Z	DP5X	DP5Y	DP5Z	PP2X	PP2Y	PP2Z	PP3X	PP3Y	PP3Z	PP4X	PP4Y	PP4Z	PP5X	PP5Y	PP5Z	IPX	IPY	IPZ	MP1X	MP1Y	MP1Z	MP2X	MP2Y	MP2Z	MP3X	MP3Y	MP3Z	MP4X	MP4Y	MP4Z	MP5X	MP5Y	MP5Z	CMC1X	CMC1Y	CMC1Z	CMC2X	CMC2Y	CMC2Z	CMC5X	CMC5Y	CMC5Z	RSX	RSY	RSZ	USX	USY	USZ	EMX	EMY	EMZ
143	0.94667	404.984	63.296	-194.134	441.916	65.906	-282.851	468.191	66.404	-297.276	497.246	62.175	-286.826	540.073	56.603	-259.391	443.019	73.565	-267.367	473.583	72.587	-279.882	498.374	68.67	-269.462	541.401	60.063	-243.959	449.261	82.735	-243.369	478	82.826	-249.731	506.555	79.095	-243.47	537.605	67.845	-228.68	413.867	64.263	-183.977	430.922	70.097	-156.619	463.411	96.03	-199.613	487.956	97.78	-200.041	510.118	90.534	-195.619	527.076	85.705	-191.542	456.83	67.7	-129.289	476.73	96.554	-159.26	520.544	89.999	-167.929	483.177	93.968	-110.425	536.717	89.282	-128.855	640.935	60.815	105.696
144	0.95333	404.977	63.363	-194.084	441.859	65.803	-282.799	468.189	66.397	-297.262	497.247	62.159	-286.804	540.079	56.601	-259.376	442.974	73.478	-267.321	473.58	72.578	-279.864	498.382	68.655	-269.447	541.407	60.064	-243.952	449.213	82.69	-243.345	477.999	82.823	-249.715	506.564	79.087	-243.453	537.612	67.84	-228.663	413.88	64.285	-183.947	430.933	70.108	-156.607	463.403	96.04	-199.595	487.96	97.783	-200.026	510.132	90.526	-195.608	527.084	85.699	-191.534	456.837	67.719	-129.281	476.743	96.557	-159.24	520.556	89.996	-167.918	483.184	93.959	-110.408	536.718	89.27	-128.838	640.936	60.799	105.715
145	0.96	404.974	63.426	-194.022	441.789	65.63	-282.713	468.186	66.386	-297.24	497.25	62.148	-286.785	540.087	56.606	-259.364	442.912	73.348	-267.26	473.573	72.567	-279.84	498.384	68.636	-269.42	541.413	60.064	-243.932	449.158	82.56	-243.283	478	82.826	-249.696	506.569	79.072	-243.44	537.618	67.836	-228.642	413.881	64.32	-183.923	430.934	70.122	-156.593	463.422	96.064	-199.58	487.959	97.786	-200.01	510.13	90.519	-195.589	527.087	85.685	-191.514	456.835	67.711	-129.26	476.744	96.557	-159.22	520.555	89.983	-167.901	483.196	93.956	-110.388	536.729	89.258	-128.815	640.942	60.8	105.74
146	0.96667	404.972	63.483	-193.972	441.689	65.39	-282.618	468.18	66.386	-297.212	497.248	62.15	-286.762	540.086	56.617	-259.347	442.809	73.162	-267.177	473.565	72.563	-279.806	498.388	68.64	-269.401	541.417	60.067	-243.919	449.105	82.441	-243.248	478.005	82.833	-249.671	506.575	79.083	-243.424	537.623	67.846	-228.631	413.885	64.356	-183.894	430.94	70.136	-156.585	463.391	96.075	-199.58	487.961	97.805	-199.983	510.131	90.526	-195.573	527.092	85.687	-191.501	456.84	67.727	-129.262	476.75	96.561	-159.199	520.566	89.983	-167.885	483.201	93.952	-110.372	536.736	89.245	-128.791	640.943	60.795	105.767
147	0.97333	404.975	63.554	-193.928	441.567	65.069	-282.492	468.175	66.387	-297.188	497.245	62.18	-286.745	540.083	56.636	-259.332	442.694	72.906	-267.089	473.555	72.573	-279.788	498.389	68.664	-269.383	541.411	60.075	-243.898	449.017	82.288	-243.21	478.006	82.853	-249.648	506.581	79.096	-243.406	537.616	67.848	-228.614	413.897	64.396	-183.87	430.939	70.155	-156.575	463.359	96.089	-199.562	487.935	97.845	-199.979	510.134	90.54	-195.555	527.098	85.692	-191.479	456.821	67.731	-129.237	476.759	96.571	-159.187	520.561	89.988	-167.86	483.203	93.948	-110.349	536.743	89.251	-128.781	640.946	60.792	105.784
148	0.98	404.961	63.619	-193.879	441.431	64.651	-282.347	468.167	66.4	-297.166	497.24	62.226	-286.723	540.084	56.674	-259.319	442.571	72.537	-266.986	473.541	72.595	-279.761	498.377	68.703	-269.368	541.402	60.105	-243.892	448.91	82.074	-243.171	477.993	82.874	-249.628	506.568	79.133	-243.385	537.611	67.874	-228.6	413.898	64.461	-183.863	430.951	70.182	-156.577	463.313	96.114	-199.563	487.92	97.868	-199.966	510.124	90.555	-195.539	527.089	85.704	-191.453	456.835	67.733	-129.221	476.759	96.582	-159.17	520.556	89.99	-167.848	483.209	93.958	-110.334	536.749	89.241	-128.76	640.959	60.789	105.796
149	0.98667	404.953	63.694	-193.816	441.293	64.173	-282.173	468.141	66.418	-297.138	497.238	62.304	-286.711	540.083	56.723	-259.309	442.456	72.186	-266.897	473.517	72.629	-279.746	498.37	68.767	-269.35	541.403	60.15	-243.864	448.804	81.84	-243.139	477.97	82.897	-249.593	506.57	79.192	-243.364	537.608	67.91	-228.582	413.897	64.514	-183.822	430.95	70.196	-156.561	463.272	96.148	-199.573	487.903	97.887	-199.944	510.12	90.591	-195.529	527.089	85.725	-191.429	456.827	67.742	-129.219	476.756	96.593	-159.152	520.554	90.01	-167.829	483.21	93.95	-110.314	536.745	89.245	-128.744	640.956	60.772	105.825
150	0.99333	404.929	63.791	-193.746	441.198	63.664	-282.013	468.098	66.454	-297.11	497.231	62.379	-286.698	540.082	56.798	-259.307	442.338	71.712	-266.771	473.481	72.654	-279.71	498.366	68.855	-269.35	541.397	60.211	-243.85	448.718	81.589	-243.1	477.944	82.934	-249.566	506.557	79.244	-243.352	537.601	67.953	-228.559	413.899	64.66	-183.739	430.942	70.211	-156.551	463.212	96.155	-199.572	487.88	97.918	-199.931	510.098	90.624	-195.504	527.072	85.755	-191.407	456.833	67.747	-129.203	476.756	96.609	-159.146	520.545	90.019	-167.811	483.206	93.955	-110.29	536.742	89.259	-128.721	640.972	60.769	105.832
151	1	404.922	63.866	-193.666	441.095	63.103	-281.826	468.06	66.489	-297.086	497.215	62.463	-286.691	540.075	56.881	-259.322	442.255	71.272	-266.66	473.448	72.709	-279.687	498.342	68.921	-269.326	541.383	60.278	-243.844	448.619	81.266	-243.044	477.903	82.977	-249.541	506.537	79.304	-243.331	537.598	68.008	-228.549	413.885	64.717	-183.702	430.945	70.226	-156.531	463.16	96.191	-199.59	487.859	97.947	-199.914	510.079	90.657	-195.487	527.057	85.791	-191.388	456.834	67.751	-129.184	476.747	96.618	-159.129	520.532	90.049	-167.787	483.203	93.96	-110.269	536.741	89.262	-128.708	640.972	60.755	105.848
152	1.00667	404.915	63.935	-193.596	441	62.522	-281.637	468.017	66.537	-297.059	497.19	62.552	-286.686	540.068	56.975	-259.325	442.142	70.75	-266.532	473.405	72.772	-279.666	498.326	68.99	-269.306	541.371	60.358	-243.856	448.534	80.98	-243.014	477.867	83.027	-249.522	506.533	79.377	-243.32	537.585	68.07	-228.542	413.885	64.763	-183.665	430.949	70.239	-156.515	463.105	96.222	-199.599	487.831	97.987	-199.898	510.054	90.697	-195.476	527.046	85.824	-191.371	456.83	67.774	-129.18	476.747	96.634	-159.117	520.52	90.076	-167.771	483.211	93.968	-110.258	536.739	89.272	-128.699	640.986	60.749	105.852
