Frame	Time	FT1X	FT1Y	FT1Z	FT2X	FT2Y	FT2Z	FT3X	FT3Y	FT3Z	FT4X	FT4Y	FT4Z	FT5X	FT5Y	FT5Z	DP2X	DP2Y	DP2Z	DP3X	DP3Y	DP3Z	DP4X	DP4Y	DP4Z	DP5X	DP5Y	DP5Z	PP2X	PP2Y	PP2Z	PP3X	PP3Y	PP3Z	PP4X	PP4Y	PP4Z	PP5X	PP5Y	PP5Z	IPX	IPY	IPZ	MP1X	MP1Y	MP1Z	MP2X	MP2Y	MP2Z	MP3X	MP3Y	MP3Z	MP4X	MP4Y	MP4Z	MP5X	MP5Y	MP5Z	CMC1X	CMC1Y	CMC1Z	CMC2X	CMC2Y	CMC2Z	CMC5X	CMC5Y	CMC5Z	RSX	RSY	RSZ	USX	USY	USZ	EMX	EMY	EMZ	ELX	ELY	ELZ
1	0	405.012	123.963	-200.569	445.82	143.071	-283.276	472.974	146.34	-301.565	498.434	143.979	-293.662	534.203	151.262	-271.82	448.825	149.956	-264.593	473.263	152.338	-282.006	499.418	150.27	-275.318	538.499	150.712	-254.731	454.873	159.352	-245.424	479.641	161.722	-255.138	506.689	159.343	-247.64	539.522	152.061	-236.131	418.17	128.669	-184.845	435.417	131.979	-160.264	463.427	168.03	-197.579	490.538	169.323	-203.992	512.103	163.23	-203.289	534.73	153.5	-199.49	465.667	135.101	-130.599	483.377	165.012	-159.464	524.559	159.542	-173.289	491.231	158.41	-108.808	540.753	163.106	-119.805	594.898	85.866	116.043	633.366	144.773	102.923
2	0.00667	404.811	123.838	-200.314	445.583	143.156	-283.103	472.694	146.531	-301.402	498.209	144.094	-293.52	534.492	151.038	-270.509	448.598	150.047	-264.432	472.993	152.514	-281.853	499.189	150.398	-275.192	538.303	150.883	-254.56	454.646	159.458	-245.254	479.334	161.697	-254.679	506.447	159.526	-247.332	539.315	152.224	-236.03	417.996	128.608	-184.642	435.272	131.999	-160.084	463.224	168.162	-197.435	490.325	169.489	-203.848	511.909	163.393	-203.157	534.539	153.695	-199.382	465.547	135.214	-130.446	483.201	165.168	-159.328	524.397	159.727	-173.175	491.129	158.56	-108.671	540.625	163.3	-119.676	594.905	85.824	116.054	633.367	144.74	102.979
3	0.01333	404.622	123.822	-200.038	445.32	143.23	-282.919	472.363	146.73	-301.252	497.976	144.246	-293.382	533.806	151.578	-271.496	448.344	150.133	-264.247	472.705	152.704	-281.694	498.958	150.55	-275.056	538.083	151.073	-254.442	454.416	159.54	-245.084	479.128	162.055	-254.808	506.236	159.638	-247.388	539.095	152.427	-235.924	417.812	128.628	-184.403	435.127	132.041	-159.889	463.015	168.286	-197.272	490.132	169.615	-203.719	511.705	163.558	-203.029	534.35	153.873	-199.28	465.443	135.319	-130.28	483.025	165.295	-159.181	524.216	159.874	-173.039	491.003	158.699	-108.516	540.505	163.425	-119.556	594.919	85.79	116.094	633.384	144.691	103.035
4	0.02	404.402	123.914	-199.749	445.037	143.309	-282.73	472.116	146.77	-301.552	497.586	144.422	-293.663	533.537	151.8	-271.444	448.016	150.211	-264.081	472.32	152.885	-281.548	498.686	150.873	-274.675	537.844	151.242	-254.396	454.15	159.638	-244.894	478.784	162.046	-254.321	505.904	160.012	-246.983	538.886	152.607	-235.827	417.63	128.704	-184.144	434.975	132.14	-159.658	462.744	168.381	-197.082	489.933	169.88	-203.612	511.411	163.713	-202.965	534.162	154.023	-199.163	465.329	135.419	-130.114	482.954	165.4	-158.899	524.025	160.032	-172.916	490.891	158.799	-108.353	540.36	163.54	-119.424	594.924	85.746	116.141	634.175	145.357	101.316
5	0.02667	404.215	124.065	-199.488	444.738	143.355	-282.478	471.761	146.94	-301.337	497.308	144.519	-293.463	533.28	151.995	-271.33	447.765	150.261	-263.834	472.027	153.063	-281.324	498.401	150.96	-274.471	537.607	151.393	-254.264	453.905	159.701	-244.694	478.505	162.218	-254.099	505.679	160.124	-246.824	538.667	152.808	-235.75	417.463	128.812	-183.874	434.878	132.258	-159.409	462.587	168.474	-196.876	489.686	169.974	-203.459	511.201	163.842	-202.799	533.973	154.187	-199.091	465.284	135.504	-129.924	482.777	165.521	-158.765	523.822	160.097	-172.765	490.804	158.852	-108.185	540.238	163.599	-119.274	594.886	85.782	116.258	634.213	145.307	101.441
6	0.03333	404.007	124.275	-199.191	444.432	143.457	-282.235	471.39	147.152	-301.13	496.981	144.715	-293.301	532.996	152.183	-271.237	447.48	150.371	-263.591	471.68	153.263	-281.128	498.093	151.146	-274.304	537.33	151.593	-254.157	453.647	159.807	-244.458	478.225	162.395	-253.908	505.413	160.298	-246.661	538.418	152.969	-235.645	417.268	128.98	-183.615	434.74	132.381	-159.186	462.402	168.644	-196.662	489.504	170.121	-203.299	511.011	163.961	-202.634	533.788	154.334	-199	465.193	135.619	-129.737	482.65	165.621	-158.572	523.668	160.198	-172.641	490.718	158.911	-108.007	540.149	163.661	-119.153	594.935	85.783	116.328	634.2	145.239	101.557
7	0.04	403.796	124.49	-198.93	444.139	143.585	-281.998	471.01	147.385	-300.925	496.627	144.948	-293.14	532.682	152.369	-271.123	447.191	150.525	-263.354	471.344	153.486	-280.918	497.807	151.363	-274.137	537.087	151.763	-254.064	453.388	159.963	-244.237	477.941	162.628	-253.708	505.172	160.495	-246.496	538.183	153.14	-235.545	417.062	129.177	-183.341	434.598	132.54	-158.949	462.237	168.85	-196.434	489.345	170.277	-203.137	510.823	164.111	-202.464	533.609	154.489	-198.901	465.125	135.718	-129.571	482.546	165.727	-158.389	523.527	160.297	-172.509	490.656	158.969	-107.837	540.08	163.707	-119.026	596.83	85.426	115.447	632.996	144.631	103.861
8	0.04667	403.604	124.732	-198.67	443.828	143.743	-281.727	470.63	147.664	-300.715	496.288	145.193	-292.992	532.402	152.546	-271.043	446.929	150.706	-263.121	471.048	153.762	-280.697	497.472	151.608	-273.972	536.813	151.92	-253.981	453.156	160.151	-244.022	477.678	162.844	-253.488	504.945	160.68	-246.356	537.963	153.299	-235.459	416.909	129.378	-183.109	434.473	132.693	-158.712	462.057	169.029	-196.19	489.16	170.447	-202.93	510.683	164.235	-202.325	533.456	154.631	-198.779	465.064	135.817	-129.393	482.444	165.851	-158.197	523.404	160.399	-172.36	490.6	159.017	-107.676	540.005	163.736	-118.905	596.679	85.386	115.632	633.096	144.616	103.922
9	0.05333	403.452	124.956	-198.435	443.559	143.943	-281.498	470.285	147.935	-300.512	495.987	145.457	-292.831	532.122	152.7	-270.954	446.686	150.901	-262.877	470.733	154.029	-280.503	497.205	151.85	-273.814	536.581	152.079	-253.895	452.948	160.391	-243.792	477.437	163.103	-253.285	504.71	160.9	-246.183	537.763	153.442	-235.39	416.776	129.583	-182.89	434.348	132.85	-158.508	461.927	169.233	-195.972	489.023	170.679	-202.701	510.497	164.426	-202.189	533.322	154.751	-198.672	465.006	135.917	-129.197	482.362	165.963	-158.004	523.311	160.489	-172.235	490.56	159.074	-107.521	539.945	163.742	-118.772	596.776	85.306	115.682	633.169	144.583	103.987
10	0.06	403.322	125.141	-198.244	443.335	144.151	-281.275	469.982	148.181	-300.323	495.71	145.658	-292.677	531.863	152.862	-270.876	446.489	151.119	-262.674	470.486	154.289	-280.287	496.97	152.077	-273.662	536.362	152.244	-253.818	452.77	160.588	-243.564	477.226	163.298	-253.116	504.529	161.132	-246.015	537.582	153.607	-235.304	416.664	129.761	-182.678	434.266	132.994	-158.339	461.83	169.406	-195.775	488.911	170.87	-202.526	510.381	164.592	-202.034	533.215	154.874	-198.55	464.959	136.002	-129.028	482.287	166.077	-157.823	523.242	160.648	-172.115	490.532	159.118	-107.368	539.898	163.77	-118.645	595.18	85.518	116.585	634.292	145.057	101.965
