Frame	Time	FT1X	FT1Y	FT1Z	FT2X	FT2Y	FT2Z	FT3X	FT3Y	FT3Z	FT4X	FT4Y	FT4Z	FT5X	FT5Y	FT5Z	DP2X	DP2Y	DP2Z	DP3X	DP3Y	DP3Z	DP4X	DP4Y	DP4Z	DP5X	DP5Y	DP5Z	PP2X	PP2Y	PP2Z	PP3X	PP3Y	PP3Z	PP4X	PP4Y	PP4Z	PP5X	PP5Y	PP5Z	IPX	IPY	IPZ	MP1X	MP1Y	MP1Z	MP2X	MP2Y	MP2Z	MP3X	MP3Y	MP3Z	MP4X	MP4Y	MP4Z	MP5X	MP5Y	MP5Z	CMC1X	CMC1Y	CMC1Z	CMC2X	CMC2Y	CMC2Z	CMC5X	CMC5Y	CMC5Z	RSX	RSY	RSZ	USX	USY	USZ	EMX	EMY	EMZ
158	1.04667	424.903	61.283	-209.864	470.813	76.057	-291.028	495.965	79.273	-303.359	522.071	71.892	-290.178	555.811	66.034	-262.309	470.699	83.956	-275.818	500.254	85.184	-285.625	522.48	78.176	-272.737	557.81	68.864	-246.752	474.596	93.193	-251.009	502.321	94.508	-254.457	529.102	87.432	-245.902	554.561	75.66	-230.721	432.258	63.73	-197.938	447.021	72.046	-169.125	483.466	104.359	-204.963	507.838	104.548	-203.426	528.853	95.943	-197.578	544.637	89.663	-192.552	468.253	72.051	-137.805	492.773	102.499	-164.488	536.818	94.479	-169.655	494.517	99.251	-116.136	549.383	94.108	-130.242	639.298	86.791	112.23
159	1.05333	424.921	61.297	-209.882	470.821	76.082	-291.041	495.913	79.31	-303.356	522.092	71.93	-290.186	555.83	66.06	-262.315	470.703	83.979	-275.828	500.225	85.227	-285.627	522.499	78.206	-272.745	557.82	68.91	-246.759	474.601	93.217	-251.018	502.285	94.546	-254.475	529.115	87.458	-245.909	554.571	75.693	-230.726	432.271	63.746	-197.956	447.038	72.057	-169.136	483.469	104.376	-204.973	507.856	104.579	-203.435	528.867	95.976	-197.586	544.647	89.694	-192.558	468.262	72.078	-137.815	492.783	102.527	-164.487	536.841	94.533	-169.694	494.53	99.28	-116.135	549.389	94.141	-130.257	639.254	86.784	112.186
160	1.06	424.945	61.303	-209.89	470.833	76.104	-291.052	495.833	79.341	-303.352	522.107	71.972	-290.195	555.858	66.106	-262.325	470.708	83.997	-275.838	500.157	85.252	-285.631	522.508	78.241	-272.751	557.844	68.951	-246.768	474.609	93.24	-251.037	502.239	94.577	-254.47	529.134	87.502	-245.921	554.597	75.737	-230.733	432.302	63.775	-197.973	447.052	72.091	-169.169	483.475	104.402	-204.986	507.85	104.628	-203.452	528.872	96.015	-197.595	544.66	89.727	-192.564	468.274	72.103	-137.829	492.791	102.55	-164.494	536.861	94.593	-169.716	494.535	99.303	-116.151	549.4	94.17	-130.258	639.265	86.814	112.174
161	1.06667	424.977	61.318	-209.917	470.831	76.119	-291.066	495.675	79.371	-303.336	522.119	72.018	-290.207	555.88	66.153	-262.335	470.714	84.013	-275.848	500.022	85.283	-285.621	522.513	78.283	-272.767	557.869	68.993	-246.771	474.621	93.263	-251.044	502.174	94.591	-254.464	529.151	87.543	-245.939	554.613	75.776	-230.742	432.33	63.813	-198.001	447.073	72.114	-169.187	483.483	104.425	-204.99	507.875	104.687	-203.472	528.881	96.054	-197.604	544.675	89.768	-192.57	468.294	72.138	-137.848	492.808	102.584	-164.495	536.87	94.626	-169.73	494.547	99.327	-116.153	549.416	94.231	-130.277	639.283	86.869	112.191
162	1.07333	425.008	61.333	-209.948	470.827	76.136	-291.074	495.477	79.404	-303.315	522.132	72.064	-290.214	555.913	66.202	-262.35	470.702	84.028	-275.854	499.857	85.314	-285.616	522.53	78.327	-272.779	557.893	69.041	-246.78	474.625	93.282	-251.054	502.068	94.669	-254.5	529.158	87.607	-245.906	554.642	75.837	-230.76	432.349	63.826	-198.015	447.1	72.14	-169.219	483.493	104.454	-205.001	507.883	104.721	-203.48	528.889	96.097	-197.628	544.688	89.808	-192.572	468.304	72.171	-137.865	492.822	102.615	-164.508	536.888	94.66	-169.734	494.553	99.351	-116.167	549.437	94.267	-130.29	639.281	86.908	112.188
163	1.08	425.042	61.346	-209.967	470.794	76.144	-291.08	495.232	79.474	-303.284	522.157	72.118	-290.222	555.943	66.254	-262.357	470.678	84.047	-275.855	499.67	85.354	-285.602	522.552	78.375	-272.787	557.919	69.098	-246.783	474.605	93.301	-251.063	501.935	94.682	-254.483	529.18	87.656	-245.914	554.675	75.885	-230.775	432.381	63.845	-198.04	447.12	72.167	-169.24	483.489	104.486	-205.017	507.888	104.765	-203.498	528.891	96.145	-197.637	544.694	89.849	-192.574	468.323	72.187	-137.884	492.839	102.653	-164.515	536.892	94.71	-169.752	494.566	99.376	-116.182	549.451	94.301	-130.289	639.307	86.942	112.209
164	1.08667	425.071	61.361	-209.989	470.744	76.162	-291.082	494.995	79.518	-303.266	522.171	72.176	-290.233	555.974	66.313	-262.365	470.638	84.058	-275.851	499.424	85.397	-285.549	522.488	78.353	-272.73	557.949	69.149	-246.786	474.58	93.315	-251.064	501.764	94.666	-254.433	529.199	87.708	-245.918	554.717	75.97	-230.812	432.409	63.87	-198.063	447.143	72.189	-169.266	483.494	104.521	-205.017	507.891	104.818	-203.519	528.905	96.187	-197.655	544.701	89.91	-192.58	468.335	72.211	-137.896	492.854	102.687	-164.519	536.907	94.752	-169.764	494.585	99.399	-116.188	549.461	94.33	-130.296	639.312	86.986	112.196
165	1.09333	425.103	61.386	-210.019	470.669	76.17	-291.077	494.789	79.58	-303.247	522.19	72.23	-290.236	556.009	66.381	-262.375	470.586	84.072	-275.85	499.229	85.448	-285.529	522.51	78.417	-272.741	557.975	69.201	-246.795	474.54	93.325	-251.064	501.65	94.693	-254.422	529.209	87.757	-245.927	554.739	76.035	-230.808	432.424	63.888	-198.078	447.162	72.202	-169.275	483.489	104.546	-205.023	507.878	104.854	-203.522	528.905	96.236	-197.666	544.712	89.96	-192.588	468.358	72.233	-137.91	492.861	102.726	-164.519	536.912	94.797	-169.776	494.591	99.424	-116.192	549.465	94.372	-130.301	639.308	87.018	112.193
166	1.1	425.117	61.405	-210.033	470.604	76.198	-291.074	494.578	79.603	-303.213	522.166	72.24	-290.226	556.053	66.472	-262.394	470.523	84.1	-275.844	499.08	85.49	-285.521	522.526	78.493	-272.751	557.997	69.269	-246.799	474.499	93.351	-251.059	501.533	94.72	-254.421	529.235	87.831	-245.949	554.755	76.11	-230.824	432.442	63.906	-198.092	447.165	72.225	-169.29	483.469	104.583	-205.023	507.878	104.902	-203.526	528.904	96.279	-197.678	544.716	90.008	-192.589	468.368	72.256	-137.916	492.866	102.763	-164.523	536.923	94.833	-169.775	494.6	99.451	-116.207	549.474	94.399	-130.3	639.319	87.044	112.199
167	1.10667	425.132	61.409	-210.041	470.55	76.228	-291.072	494.444	79.662	-303.197	522.183	72.303	-290.235	556.067	66.566	-262.407	470.477	84.127	-275.836	498.959	85.537	-285.513	522.53	78.553	-272.752	558.021	69.337	-246.808	474.461	93.373	-251.059	501.447	94.762	-254.413	529.226	87.887	-245.95	554.77	76.176	-230.814	432.456	63.92	-198.104	447.184	72.25	-169.289	483.462	104.62	-205.024	507.87	104.945	-203.527	528.897	96.331	-197.678	544.716	90.063	-192.591	468.381	72.277	-137.925	492.863	102.804	-164.52	536.927	94.876	-169.784	494.603	99.478	-116.199	549.481	94.427	-130.295	639.315	87.081	112.192
168	1.11333	425.152	61.423	-210.061	470.51	76.262	-291.073	494.322	79.727	-303.18	522.185	72.369	-290.241	556.08	66.639	-262.403	470.429	84.154	-275.832	498.851	85.587	-285.499	522.544	78.637	-272.759	558.031	69.416	-246.815	474.438	93.406	-251.057	501.375	94.78	-254.388	529.233	87.957	-245.951	554.788	76.243	-230.823	432.475	63.94	-198.122	447.194	72.271	-169.3	483.453	104.667	-205.028	507.866	105.022	-203.525	528.898	96.384	-197.684	544.711	90.119	-192.597	468.391	72.289	-137.933	492.862	102.833	-164.516	536.927	94.918	-169.779	494.601	99.509	-116.204	549.476	94.48	-130.306	639.302	87.151	112.163
